<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
07/15/21;11:05:00,655.1300000,656.4300000,652.6000000,653.0000000,8062
07/15/21;11:10:00,652.9000000,655.3700000,652.9000000,655.3300000,4197
07/15/21;11:15:00,654.6000000,657.1000000,653.0200000,656.3700000,3924
07/15/21;11:20:00,657.1100000,657.1100000,656.0100000,656.0400000,2427
07/15/21;11:25:00,656.7800000,656.9500000,656.1600000,656.3800000,2744
07/15/21;11:30:00,656.0800000,656.1300000,655.8300000,656.0200000,1100
07/15/21;11:35:00,655.6400000,657.1000000,655.6400000,657.0000000,2646
07/15/21;11:40:00,657.5000000,657.5000000,654.3300000,654.4050000,9150
07/15/21;11:45:00,654.4600000,654.4600000,653.7000000,654.2100000,2599
07/15/21;11:50:00,654.1700000,654.4500000,652.5000000,652.5000000,6468
07/15/21;11:55:00,652.5000000,652.6700000,651.7800000,651.7800000,4157
07/15/21;12:00:00,651.0000000,651.5600000,650.7200000,650.7200000,2855
07/15/21;12:05:00,650.7000000,651.1600000,647.8300000,648.2400000,11205
07/15/21;12:10:00,648.0000000,648.4500000,646.9100000,647.1200000,8533
07/15/21;12:15:00,647.0300000,648.2900000,646.5000000,648.2900000,3992
07/15/21;12:20:00,647.8150000,648.5100000,647.5050000,648.2500000,4743
07/15/21;12:25:00,647.9200000,648.2400000,646.7500000,648.0200000,6535
07/15/21;12:30:00,648.5300000,648.9000000,648.4200000,648.5300000,1384
07/15/21;12:35:00,647.7700000,647.7900000,645.2800000,645.3600000,3500
07/15/21;12:40:00,645.3600000,646.6600000,645.3600000,645.5000000,6316
07/15/21;12:45:00,646.5000000,647.2500000,646.5000000,647.2500000,1834
07/15/21;12:50:00,646.7300000,647.1200000,645.9800000,646.0000000,1672
07/15/21;12:55:00,646.0000000,646.3700000,644.9000000,644.9400000,7140
07/15/21;13:00:00,644.9500000,646.0000000,644.4000000,646.0000000,11464
07/15/21;13:05:00,645.2400000,645.2400000,643.5000000,643.6000000,10566
